feature_name,variance,target_linear_correlation,target_xicor_correlation,SFM
AC_COIL_FACTOR of 1103959_69_1133529_YPP,2.9515737178689093e-33,0.02121065521860896,-7.73258643917371,0.0
AC_COIL_FACTOR of 1103959_69_1133529_cp1_cp1p5,2.9515737178689093e-33,0.02121065521860896,-7.73258643917371,0.0
AC_COIL_FACTOR of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,2.9515737178689093e-33,0.02121065521860896,-7.73258643917371,0.0
AC_COIL_FACTOR of 1103959_69_1133592_RPP,2.9515737178689093e-33,0.02121065521860896,-7.73258643917371,0.0
AC_GAIN_32 of 1103959_69_1133529_cp1,0.0,,-7.7435821305282,0.0
AC_GAIN_32 of 1103959_69_1133529_cp1_cp1p5_YPP,1.000276548672566,0.11481779331279013,-7.768275844163282,0.0
AC_GAIN_32 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1.000276548672566,0.11481779331279013,-7.768275844163282,0.0
AC_GAIN_32 of 1103959_69_1133529_cp1p5,1.000276548672566,0.11481779331279013,-7.768275844163282,0.0
AC_GAIN_32 of 1103959_69_1133592_QPP,1.000276548672566,0.11481779331279013,-7.768275844163282,0.0
AC_GAIN_32 of 1103959_69_JPP,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1_cp1p5_YPP,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1p5,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_1133592_QPP,0.0,,-7.7435821305282,0.0
AC_GAIN_33 of 1103959_69_JPP,0.0,,-7.7435821305282,0.0
AC_ITER of 1103959_69_1133529_YPP,0.0,,-7.7435821305282,0.0
AC_ITER of 1103959_69_1133529_cp1_cp1p5,0.0,,-7.7435821305282,0.0
AC_ITER of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.0,,-7.7435821305282,0.0
AC_ITER of 1103959_69_1133592_RPP,0.0,,-7.7435821305282,0.0
AC_MATCH_FAIL_PF of 1103959_69_1133529_YPP,0.0,,-7.7435821305282,0.0
AC_MATCH_FAIL_PF of 1103959_69_1133529_cp1_cp1p5,0.0,,-7.7435821305282,0.0
AC_MATCH_FAIL_PF of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.0,,-7.7435821305282,0.0
AC_MATCH_FAIL_PF of 1103959_69_1133592_RPP,0.0,,-7.7435821305282,0.0
AC_OFFCALRES of 1103959_69_1133529_cp1,1.0002765486725664,0.0010544937531157235,-7.747698424712489,0.0013401853657903483
AC_OFFCALRES of 1103959_69_1133529_cp1_cp1p5_YPP,1.0002765486725664,0.010239751100557673,-7.697699225373597,0.0005463070533648852
AC_OFFCALRES of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1.0002765486725664,0.00036835696040999103,-7.720330740445881,0.0015381700154796993
AC_OFFCALRES of 1103959_69_1133529_cp1p5,1.0002765486725662,0.0007351413097708711,-7.759253219017207,0.0004038413257166359
AC_OFFCALRES of 1103959_69_1133592_QPP,1.0002765486725664,0.00788840701549666,-7.826377984809833,0.0010834246416435672
AC_OFFCALRES of 1103959_69_JPP,1.0002765486725664,0.019196128033413345,-7.718746615420233,0.0003070068755234283
AC_OFFCALRES_PRE of 1103959_69_1133529_cp1,1.0002765486725664,0.021430213079077963,-7.786045594450973,0.0016341312762427162
AC_OFFCALRES_PRE of 1103959_69_1133529_cp1_cp1p5_YPP,1.0002765486725664,0.0012682034725542322,-7.803373734437397,0.0006527563276647846
AC_OFFCALRES_PRE of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1.0002765486725664,0.009267938569447501,-7.740851439307519,0.0007078600882748807
